"author","normalized_author","distilbert_author","confidence"
"Du Creux, François, 1596?-1666.","du creux francois 15961666","{'authorized_name': 'graux, charles henri, 1852-1882', 'author_id': 'A3249'}","0.17746393382549286"
"Meyer, Ernst H. F. 1791-1858.","meyer ernst h f 17911858","{'authorized_name': 'meyer, wilhelm, 1845-1917', 'author_id': 'A6252'}","0.9999557733535767"
"Laet, Joannes de, 1593-1649.","laet joannes de 15931649","{'authorized_name': 'lawrence, of novara', 'author_id': 'A5070'}","0.15686576068401337"
"Caesar, Julius","caesar julius","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","0.9999862909317017"
"Unknown","unknown","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Drexel, Jeremias, 1581-1638,","drexel jeremias 15811638","{'authorized_name': 'dorpius, martinus, 1485-1525', 'author_id': 'A4045'}","0.5214971899986267"
"Kircher, Athanasius, 1602-1680","kircher athanasius 16021680","{'authorized_name': 'kircher, athanasius, 1602-1680', 'author_id': 'A4106'}","0.9999908208847046"
"Hincmar, Archbishop of Reims, approximately 806-882","hincmar archbishop of reims approximately 806882","{'authorized_name': 'hincmar, archbishop of reims', 'author_id': 'A5135'}","0.9999986886978149"
"Acosta, José de, 1540-1600,","acosta jose de 15401600","{'authorized_name': 'acosta, josé de, 1540-1600', 'author_id': 'A5598'}","0.9999966621398926"
"Lessius, Leonardus, 1554-1623","lessius leonardus 15541623","{'authorized_name': 'lessing, gotthold ephraim, 1729-1781', 'author_id': 'A3929'}","0.9858647584915161"
"Riccioli, Giovanni Battista, 1598-1671,","riccioli giovanni battista 15981671","{'authorized_name': 'ricci, matteo, 1552-1610', 'author_id': 'A4121'}","0.9953597187995911"
"Guazzo, Francesco Maria,","guazzo francesco maria","{'authorized_name': 'giovio, benedetto, 1471-1545', 'author_id': 'A5993'}","0.4664578437805176"
"Kircher, Athanasius, 1602-1680.","kircher athanasius 16021680","{'authorized_name': 'kircher, athanasius, 1602-1680', 'author_id': 'A4106'}","0.9999911785125732"
"Mersenne, Marin, 1588-1648,","mersenne marin 15881648","{'authorized_name': 'mersenne, marin, 1588-1648', 'author_id': 'A4211'}","0.999984860420227"
"Virgil.","virgil","{'authorized_name': 'virgil', 'author_id': 'A4830'}","0.9998739957809448"
"Kepler, Johannes, 1571-1630.","kepler johannes 15711630","{'authorized_name': 'kepler, johannes', 'author_id': 'A4709'}","0.9999829530715942"
"Roothaan, Joannes Philippus, 1785-1853","roothaan joannes philippus 17851853","{'authorized_name': 'heidenhain, friedrich jakob, 1845-1912', 'author_id': 'A3484'}","0.6008188128471375"
"Suarez, Francisco, 1548-1617.","suarez francisco 15481617","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.410325288772583"
"Alvares, Manuel, 1526-1583.","alvares manuel 15261583","{'authorized_name': 'alvares, manuel, 1526-1583', 'author_id': 'A6175'}","0.9999191761016846"
"Suarez, Francisco, 1548-1617.","suarez francisco 15481617","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.410325288772583"
"Huygens, Constantijn, 1596-1687","huygens constantijn 15961687","{'authorized_name': 'huygens, christiaan, 1629-1695', 'author_id': 'A4138'}","0.9872135519981384"
"Nieremberg, Juan Eusebio, 1595-1658.","nieremberg juan eusebio 15951658","{'authorized_name': 'schweickhofer, johannes', 'author_id': 'A4222'}","0.48340627551078796"
"Bellarmino, Roberto Francesco Romolo, Saint, 1542-1621.","bellarmino roberto francesco romolo saint 15421621","{'authorized_name': 'longolius, christophorus, 1488-1522', 'author_id': 'A3945'}","0.17065119743347168"
"Reiske, Johann Jacob, 1716-1774.","reiske johann jacob 17161774","{'authorized_name': 'reisch, emil, 1863-1933', 'author_id': 'A6268'}","0.9759899377822876"
"Suarez, Francisco, 1548-1617.","suarez francisco 15481617","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.410325288772583"
"Suárez, Francisco, 1548-1617.","suarez francisco 15481617","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.5979602336883545"
