"author","normalized_author","deterministic_author","fuzzy_author","fuzzy_author_score","distilbert_author","distilbert_author_score"
"Meyer, Ernst H. F. 1791-1858.","meyer ernst h f 17911858","","","0.0","meyer, wilhelm, 1845-1917","0.9999557733535768"
"Caesar, Julius","caesar julius","","","0.0","caesar, julius","0.9999862909317015"
"Hincmar, Archbishop of Reims, approximately 806-882","hincmar archbishop of reims approximately 806882","","","0.0","hincmar, archbishop of reims","0.9999986886978148"
"Prosper, of Aquitaine, Saint, approximately 390-approximately 463.","prosper of aquitaine saint approximately 390approximately 463","","","0.0","prosper, of aquitaine, saint","0.999983549118042"
"Vitruvius Pollio.","vitruvius pollio","","","0.0","vitruvius pollio","0.9999804496765136"
"Juvencus, Caius Vettius Aquilinus.","juvencus caius vettius aquilinus","","","0.0","juvencus, caius vettius aquilinus","0.9999969005584716"
"Valerius Flaccus, Gaius, active 1st century.","valerius flaccus gaius active 1st century","","","0.0","valerius flaccus, gaius","0.9999948740005492"
"Caesar, Julius.","caesar julius","","","0.0","caesar, julius","0.9999878406524658"
"Nonius Marcellus, active 4th century.","nonius marcellus active 4th century","","","0.0","nonius marcellus","0.9999632835388184"
"Palladius, Rutilius Taurus Aemilianus.","palladius rutilius taurus aemilianus","","","0.0","palladius, rutilius taurus aemilianus","0.99993896484375"
"Caesar, Julius.","caesar julius","","","0.0","caesar, julius","0.9999878406524658"
"Propertius, Sextus.","propertius sextus","","","0.0","propertius, sextus","0.9996812343597412"
"Horatius, Romanus, fl. 1450.","horatius romanus fl 1450","","","0.0","horatius romanus","0.9999496936798096"
"Caesar, Julius","caesar julius","","","0.0","caesar, julius","0.9999862909317015"
"Caesar, Julius","caesar julius","","","0.0","caesar, julius","0.9999862909317015"
"Catullus, Gaius Valerius","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999933242797852"
"Catullus, Gaius Valerius","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999933242797852"
"Catullus, Gaius Valerius","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999933242797852"
"Frontinus, Sextus Julius","frontinus sextus julius","","","0.0","frontinus, sextus julius","0.9999566078186036"
"Phaedrus","phaedrus","","","0.0","phaedrus","0.999992847442627"
"Phaedrus","phaedrus","","","0.0","phaedrus","0.999992847442627"
"Phaedrus","phaedrus","","","0.0","phaedrus","0.999992847442627"
"Phaedrus","phaedrus","","","0.0","phaedrus","0.999992847442627"
"Phaedrus","phaedrus","","","0.0","phaedrus","0.999992847442627"
"Phaedrus","phaedrus","","","0.0","phaedrus","0.999992847442627"
"Phaedrus","phaedrus","","","0.0","phaedrus","0.999992847442627"
"Phaedrus","phaedrus","","","0.0","phaedrus","0.999992847442627"
"Phaedrus","phaedrus","","","0.0","phaedrus","0.999992847442627"
"Phaedrus","phaedrus","","","0.0","phaedrus","0.999992847442627"
"Rutilius Namatianus, Claudius, active 5th century","rutilius namatianus claudius active 5th century","","","0.0","namatianus, claudius rutilius, active 5th century","0.9999942779541016"
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","seneca lucius annaeus approximately 4 bc65 ad","","","0.0","seneca, lucius annaeus, approximately 4 b.c.-65 a.d.","0.9999599456787108"
"Statius, P. Papinius","statius p papinius","","","0.0","statius, p. papinius (publius papinius)","0.9999499320983888"
"Vegetius Renatus, Publius","vegetius renatus publius","","","0.0","vegetius renatus, flavius","0.9999895095825196"
"Velleius Paterculus, ca. 19 B.C.-ca. 30 A.D.","velleius paterculus ca 19 bcca 30 ad","","","0.0","velleius paterculus","0.99997079372406"
"Schmidt, Carl, 1868-1938","schmidt carl 18681938","","","0.0","schmidt, paul wilhelm, 1845-1921","0.9997158646583556"
"Martial","martial","","","0.0","martial","0.9999687671661376"
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","seneca lucius annaeus approximately 4 bc65 ad","","","0.0","seneca, lucius annaeus, approximately 4 b.c.-65 a.d.","0.9999599456787108"
"Propertius, Sextus","propertius sextus","","","0.0","propertius, sextus","0.9996498823165894"
