"author","normalized_author","deterministic_author","fuzzy_author","fuzzy_author_score","distilbert_author","distilbert_author_score"
"Du Creux, François, 1596?-1666.","du creux francois 15961666","","","0.0","graux, charles henri, 1852-1882","0.1774639338254928"
"Meyer, Ernst H. F. 1791-1858.","meyer ernst h f 17911858","","","0.0","meyer, wilhelm, 1845-1917","0.9999557733535768"
"Laet, Joannes de, 1593-1649.","laet joannes de 15931649","","","0.0","lawrence, of novara","0.1568657606840133"
"Caesar, Julius","caesar julius","","","0.0","caesar, julius","0.9999862909317015"
"Unknown","unknown","","","0.0","alan, of tewkesbury","0.1102700307965278"
"Drexel, Jeremias, 1581-1638,","drexel jeremias 15811638","","","0.0","dorpius, martinus, 1485-1525","0.5214971899986267"
"Kircher, Athanasius, 1602-1680","kircher athanasius 16021680","kircher, athanasius, 1602-1680","","0.0","kircher, athanasius, 1602-1680","0.9999908208847046"
"Hincmar, Archbishop of Reims, approximately 806-882","hincmar archbishop of reims approximately 806882","","","0.0","hincmar, archbishop of reims","0.9999986886978148"
"Acosta, José de, 1540-1600,","acosta jose de 15401600","acosta, josé de, 1540-1600","","0.0","acosta, josé de, 1540-1600","0.9999966621398926"
"Lessius, Leonardus, 1554-1623","lessius leonardus 15541623","","","0.0","lessing, gotthold ephraim, 1729-1781","0.985864758491516"
"Riccioli, Giovanni Battista, 1598-1671,","riccioli giovanni battista 15981671","","","0.0","ricci, matteo, 1552-1610","0.9953597187995912"
"Guazzo, Francesco Maria,","guazzo francesco maria","","","0.0","giovio, benedetto, 1471-1545","0.4664578437805176"
"Kircher, Athanasius, 1602-1680.","kircher athanasius 16021680","kircher, athanasius, 1602-1680","","0.0","kircher, athanasius, 1602-1680","0.9999911785125732"
"Mersenne, Marin, 1588-1648,","mersenne marin 15881648","mersenne, marin, 1588-1648","","0.0","mersenne, marin, 1588-1648","0.999984860420227"
"Virgil.","virgil","virgil","","0.0","virgil","0.9998739957809448"
"Kepler, Johannes, 1571-1630.","kepler johannes 15711630","kepler, johannes","","0.0","kepler, johannes","0.9999829530715942"
"Roothaan, Joannes Philippus, 1785-1853","roothaan joannes philippus 17851853","","","0.0","heidenhain, friedrich jakob, 1845-1912","0.6008188128471375"
"Suarez, Francisco, 1548-1617.","suarez francisco 15481617","suárez, francisco, 1548-1617","","0.0","gonzález téllez, manuel, -1649","0.410325288772583"
"Alvares, Manuel, 1526-1583.","alvares manuel 15261583","alvares, manuel, 1526-1583","","0.0","alvares, manuel, 1526-1583","0.9999191761016846"
"Suarez, Francisco, 1548-1617.","suarez francisco 15481617","suárez, francisco, 1548-1617","","0.0","gonzález téllez, manuel, -1649","0.410325288772583"
"Huygens, Constantijn, 1596-1687","huygens constantijn 15961687","","","0.0","huygens, christiaan, 1629-1695","0.9872135519981384"
"Nieremberg, Juan Eusebio, 1595-1658.","nieremberg juan eusebio 15951658","","","0.0","schweickhofer, johannes","0.4834062755107879"
"Bellarmino, Roberto Francesco Romolo, Saint, 1542-1621.","bellarmino roberto francesco romolo saint 15421621","","","0.0","longolius, christophorus, 1488-1522","0.1706511974334716"
"Reiske, Johann Jacob, 1716-1774.","reiske johann jacob 17161774","","","0.0","reisch, emil, 1863-1933","0.9759899377822876"
"Suarez, Francisco, 1548-1617.","suarez francisco 15481617","suárez, francisco, 1548-1617","","0.0","gonzález téllez, manuel, -1649","0.410325288772583"
"Suárez, Francisco, 1548-1617.","suarez francisco 15481617","suárez, francisco, 1548-1617","","0.0","gonzález téllez, manuel, -1649","0.5979602336883545"
