"author","deterministic_author","fuzzy_author","fuzzy_author_score","distilbert_author","distilbert_author_score"
"Du Creux, François, 1596?-1666.","","","0.0","{'authorized_name': 'graux, charles henri, 1852-1882', 'author_id': 'A3249'}","0.17746393382549286"
"Meyer, Ernst H. F. 1791-1858.","","","0.0","{'authorized_name': 'meyer, wilhelm, 1845-1917', 'author_id': 'A6252'}","0.9999557733535767"
"Laet, Joannes de, 1593-1649.","","","0.0","{'authorized_name': 'lawrence, of novara', 'author_id': 'A5070'}","0.15686576068401337"
"Caesar, Julius","","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","1.0","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","0.9999862909317017"
"Unknown","","","0.0","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Drexel, Jeremias, 1581-1638,","","","0.0","{'authorized_name': 'dorpius, martinus, 1485-1525', 'author_id': 'A4045'}","0.5214971899986267"
"Kircher, Athanasius, 1602-1680","{'authorized_name': 'kircher, athanasius, 1602-1680', 'author_id': 'A4106'}","{'authorized_name': 'kircher, athanasius, 1602-1680', 'author_id': 'A4106'}","1.0","{'authorized_name': 'kircher, athanasius, 1602-1680', 'author_id': 'A4106'}","0.9999908208847046"
"Hincmar, Archbishop of Reims, approximately 806-882","","","0.0","{'authorized_name': 'hincmar, archbishop of reims', 'author_id': 'A5135'}","0.9999986886978149"
"Acosta, José de, 1540-1600,","{'authorized_name': 'acosta, josé de, 1540-1600', 'author_id': 'A5598'}","{'authorized_name': 'acosta, josé de, 1540-1600', 'author_id': 'A5598'}","1.0","{'authorized_name': 'acosta, josé de, 1540-1600', 'author_id': 'A5598'}","0.9999966621398926"
"Lessius, Leonardus, 1554-1623","","","0.0","{'authorized_name': 'lessing, gotthold ephraim, 1729-1781', 'author_id': 'A3929'}","0.9858647584915161"
"Riccioli, Giovanni Battista, 1598-1671,","","","0.0","{'authorized_name': 'ricci, matteo, 1552-1610', 'author_id': 'A4121'}","0.9953597187995911"
"Guazzo, Francesco Maria,","","","0.0","{'authorized_name': 'giovio, benedetto, 1471-1545', 'author_id': 'A5993'}","0.4664578437805176"
"Kircher, Athanasius, 1602-1680.","{'authorized_name': 'kircher, athanasius, 1602-1680', 'author_id': 'A4106'}","{'authorized_name': 'kircher, athanasius, 1602-1680', 'author_id': 'A4106'}","1.0","{'authorized_name': 'kircher, athanasius, 1602-1680', 'author_id': 'A4106'}","0.9999911785125732"
"Mersenne, Marin, 1588-1648,","{'authorized_name': 'mersenne, marin, 1588-1648', 'author_id': 'A4211'}","{'authorized_name': 'mersenne, marin, 1588-1648', 'author_id': 'A4211'}","1.0","{'authorized_name': 'mersenne, marin, 1588-1648', 'author_id': 'A4211'}","0.999984860420227"
"Virgil.","{'authorized_name': 'virgil', 'author_id': 'A4830'}","{'authorized_name': 'virgil', 'author_id': 'A4830'}","1.0","{'authorized_name': 'virgil', 'author_id': 'A4830'}","0.9998739957809448"
"Kepler, Johannes, 1571-1630.","{'authorized_name': 'kepler, johannes', 'author_id': 'A4709'}","{'authorized_name': 'kepler, johannes', 'author_id': 'A4709'}","1.0","{'authorized_name': 'kepler, johannes', 'author_id': 'A4709'}","0.9999829530715942"
"Roothaan, Joannes Philippus, 1785-1853","","","0.0","{'authorized_name': 'heidenhain, friedrich jakob, 1845-1912', 'author_id': 'A3484'}","0.6008188128471375"
"Suarez, Francisco, 1548-1617.","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","1.0","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.410325288772583"
"Alvares, Manuel, 1526-1583.","{'authorized_name': 'alvares, manuel, 1526-1583', 'author_id': 'A6175'}","{'authorized_name': 'alvares, manuel, 1526-1583', 'author_id': 'A6175'}","1.0","{'authorized_name': 'alvares, manuel, 1526-1583', 'author_id': 'A6175'}","0.9999191761016846"
"Suarez, Francisco, 1548-1617.","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","1.0","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.410325288772583"
"Huygens, Constantijn, 1596-1687","","","0.0","{'authorized_name': 'huygens, christiaan, 1629-1695', 'author_id': 'A4138'}","0.9872135519981384"
"Nieremberg, Juan Eusebio, 1595-1658.","","","0.0","{'authorized_name': 'schweickhofer, johannes', 'author_id': 'A4222'}","0.48340627551078796"
"Bellarmino, Roberto Francesco Romolo, Saint, 1542-1621.","","","0.0","{'authorized_name': 'longolius, christophorus, 1488-1522', 'author_id': 'A3945'}","0.17065119743347168"
"Reiske, Johann Jacob, 1716-1774.","","","0.0","{'authorized_name': 'reisch, emil, 1863-1933', 'author_id': 'A6268'}","0.9759899377822876"
"Suarez, Francisco, 1548-1617.","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","1.0","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.410325288772583"
